model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
panel_pooled,0.011131568331745112,143.61105693007568,0.028911635627758336,16.726593252361525,4360,44,True,"{""r2_overall"": 0.011388500303056381, ""r2_between"": 0.007938409362764909}",N-B,B,ME,raw,SPY,-239.64950035150756
panel_entity_fe,0.011135141870731835,140.23974878799442,0.03039434742219793,16.18888785919674,4360,44,True,"{""r2_overall"": 0.011384976735087537, ""r2_between"": 0.007735395511967336}",N-B,B,ME,raw,SPY,-239.62127250527598
panel_entity_time_fe,-0.0019319641699329093,292.36803097614387,0.0019114630710339586,34.33308926856886,4360,44,True,"{""r2_overall"": -0.001152548889237437, ""r2_between"": 0.006515682863010408}",N-B,B,ME,raw,SPY,-364.88342742527215
panel_entity_fe_excess,0.011135141870731835,140.23974878799442,0.03039434742219793,16.18888785919674,4360,44,True,"{""r2_overall"": 0.011384976735087537, ""r2_between"": 0.007735395511967336}",N-B,B,ME,raw,SPY,-311.86419084203834
panel_entity_fe_controls,0.011653998526651166,141.72356849806502,0.02686219179265259,12.711146089529196,4360,44,True,"{""r2_overall"": 0.010664243330203105, ""r2_between"": 0.01369250622415441}",N-B,B,ME,raw,SPY,-243.98729945330655
asymmetry,0.3331354428653132,-9.852186545227147,,,4009,44,False,"{""beta_pos_median"": -9.852186545227147, ""beta_neg_median"": 45.55035126943481, ""asymmetry_ratio_median"": -0.07925845325127284, ""wald_p_median"": 0.1641837058078377}",N-B,B,ME,raw,SPY,10.408479158376949
relative_performance,0.3299347440139892,,,,4009,44,False,"{""r2_absolute_median"": 0.20497497664449654, ""r2_excess_median"": 0.2182999248853436, ""r2_combined_median"": 0.3299347440139892}",N-B,B,ME,raw,SPY,-254.58697966979582
granger,,,0.4762324312484091,0.5111399058407144,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-B,B,ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 3.385308322207807e-15, ""best_month"": 1, ""worst_month"": 12}",N-B,B,ME,raw,SPY,
drawdown,0.026132931576554608,-1.03100657795921,0.1700080816360915,,729,42,False,"{""1m"": {""beta_depth"": -1.03100657795921, ""beta_depth_p"": 0.1700080816360915, ""r2"": 0.026132931576554608}, ""2m"": {""beta_depth"": -1.191911155240634, ""beta_depth_p"": 0.16145596197340506, ""r2"": 0.016623660925718542}, ""3m"": {""beta_depth"": -1.6162067241785996, ""beta_depth_p"": 0.2854471409497362, ""r2"": 0.00640063520130596}, ""6m"": {""beta_depth"": 1.1075485168709864, ""beta_depth_p"": 0.7254417508695057, ""r2"": 0.0072411221139182524}}",N-B,B,ME,raw,SPY,65.20977424308794
univariate_r2_by_lag,0.023532649787504578,130.6683051863593,0.1425228184694498,,44,44,False,"{""best_lag"": 1, ""best_r2"": 0.023532649787504578}",N-C,C,ME,raw,SPY,0.0
multilag_ols,0.08071824696152463,146.8366546196557,0.11397615453255859,0.11510562882292882,4360,44,False,{},N-C,C,ME,raw,SPY,0.0
multilag_ols_month_fe,0.1891012439619406,132.66147630411453,0.13107765224927415,0.2783360441998604,4360,44,False,{},N-C,C,ME,raw,SPY,0.0
cross_correlation,,0.1533907090768255,0.14252281846944925,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.1533907090768255}",N-C,C,ME,raw,SPY,
panel_pooled,0.03509651836689587,259.246259157594,6.883328792128829e-05,52.33028688035472,4360,44,True,"{""r2_overall"": 0.03478643442649554, ""r2_between"": 0.00992452854003889}",N-C,C,ME,raw,SPY,0.0
panel_entity_fe,0.03509726912125943,257.8853722491048,5.225197404645776e-05,52.293534147956656,4360,44,True,"{""r2_overall"": 0.03478570383718371, ""r2_between"": 0.009810497170210764}",N-C,C,ME,raw,SPY,0.0
panel_entity_time_fe,0.034556378572594304,292.36803097614387,0.0019114630710339586,34.33308926856886,4360,44,True,"{""r2_overall"": 0.034262303929687765, ""r2_between"": 0.009346687093036987}",N-C,C,ME,raw,SPY,0.0
panel_entity_fe_excess,0.03509726912125943,257.8853722491048,5.225197404645776e-05,52.293534147956656,4360,44,True,"{""r2_overall"": 0.03478570383718371, ""r2_between"": 0.009810497170210764}",N-C,C,ME,raw,SPY,-72.24291833676233
panel_entity_fe_controls,0.03605272847198182,260.0044755188779,3.243091096272188e-05,40.31843072825866,4360,44,True,"{""r2_overall"": 0.03387593311163939, ""r2_between"": 0.014586511866677587}",N-C,C,ME,raw,SPY,0.0
asymmetry,0.3320945949494755,106.15923275176094,,,4009,44,False,"{""beta_pos_median"": 106.15923275176094, ""beta_neg_median"": 64.3073257729997, ""asymmetry_ratio_median"": 1.384423225431752, ""wald_p_median"": 0.014970755697568406}",N-C,C,ME,raw,SPY,0.0
