lag,correlation,p_value,ETF
8.0,,,GUNR
9.0,,,GUNR
10.0,,,GUNR
11.0,,,GUNR
12.0,,,GUNR
13.0,,,GUNR
14.0,,,GUNR
15.0,,,GUNR
16.0,,,GUNR
17.0,,,GUNR
18.0,,,GUNR
19.0,,,GUNR
20.0,,,GUNR
-14.0,,,IFRA
-13.0,,,IFRA
-12.0,,,IFRA
-11.0,,,IFRA
-10.0,,,IFRA
-9.0,,,IFRA
-8.0,,,IFRA
-7.0,,,IFRA
-6.0,,,IFRA
-5.0,,,IFRA
-4.0,,,IFRA
-3.0,,,IFRA
-2.0,,,IFRA
-1.0,,,IFRA
0.0,,,IFRA
1.0,,,IFRA
2.0,,,IFRA
3.0,,,IFRA
4.0,,,IFRA
5.0,,,IFRA
6.0,,,IFRA
7.0,,,IFRA
8.0,,,IFRA
9.0,,,IFRA
10.0,,,IFRA
11.0,,,IFRA
12.0,,,IFRA
13.0,,,IFRA
14.0,,,IFRA
-20.0,,,IGE
-19.0,,,IGE
-18.0,,,IGE
-17.0,,,IGE
-16.0,,,IGE
-15.0,,,IGE
-14.0,,,IGE
-13.0,,,IGE
-12.0,,,IGE
-11.0,,,IGE
-10.0,,,IGE
-9.0,,,IGE
-8.0,,,IGE
-7.0,,,IGE
-6.0,,,IGE
-5.0,,,IGE
-4.0,,,IGE
-3.0,,,IGE
-2.0,,,IGE
-1.0,,,IGE
0.0,,,IGE
1.0,,,IGE
2.0,,,IGE
3.0,,,IGE
4.0,,,IGE
5.0,,,IGE
6.0,,,IGE
7.0,,,IGE
8.0,,,IGE
9.0,,,IGE
10.0,,,IGE
11.0,,,IGE
12.0,,,IGE
13.0,,,IGE
14.0,,,IGE
15.0,,,IGE
16.0,,,IGE
17.0,,,IGE
18.0,,,IGE
19.0,,,IGE
20.0,,,IGE
-20.0,,,IGF
-19.0,,,IGF
-18.0,,,IGF
-17.0,,,IGF
-16.0,,,IGF
-15.0,,,IGF
-14.0,,,IGF
-13.0,,,IGF
-12.0,,,IGF
-11.0,,,IGF
-10.0,,,IGF
-9.0,,,IGF
-8.0,,,IGF
-7.0,,,IGF
-6.0,,,IGF
-5.0,,,IGF
-4.0,,,IGF
-3.0,,,IGF
-2.0,,,IGF
-1.0,,,IGF
0.0,,,IGF
1.0,,,IGF
2.0,,,IGF
3.0,,,IGF
4.0,,,IGF
5.0,,,IGF
6.0,,,IGF
7.0,,,IGF
8.0,,,IGF
9.0,,,IGF
10.0,,,IGF
11.0,,,IGF
12.0,,,IGF
13.0,,,IGF
14.0,,,IGF
15.0,,,IGF
16.0,,,IGF
17.0,,,IGF
18.0,,,IGF
19.0,,,IGF
20.0,,,IGF
-16.0,,,IZRL
-15.0,,,IZRL
-14.0,,,IZRL
-13.0,,,IZRL
-12.0,,,IZRL
-11.0,,,IZRL
-10.0,,,IZRL
-9.0,,,IZRL
-8.0,,,IZRL
-7.0,,,IZRL
-6.0,,,IZRL
-5.0,,,IZRL
-4.0,,,IZRL
-3.0,,,IZRL
-2.0,,,IZRL
-1.0,,,IZRL
0.0,,,IZRL
1.0,,,IZRL
2.0,,,IZRL
3.0,,,IZRL
4.0,,,IZRL
5.0,,,IZRL
6.0,,,IZRL
7.0,,,IZRL
8.0,,,IZRL
9.0,,,IZRL
10.0,,,IZRL
11.0,,,IZRL
12.0,,,IZRL
13.0,,,IZRL
14.0,,,IZRL
15.0,,,IZRL
16.0,,,IZRL
-14.0,,,JUST
-13.0,,,JUST
-12.0,,,JUST
-11.0,,,JUST
-10.0,,,JUST
-9.0,,,JUST
-8.0,,,JUST
-7.0,,,JUST
-6.0,,,JUST
-5.0,,,JUST
-4.0,,,JUST
-3.0,,,JUST
-2.0,,,JUST
-1.0,,,JUST
0.0,,,JUST
1.0,,,JUST
2.0,,,JUST
3.0,,,JUST
4.0,,,JUST
5.0,,,JUST
6.0,,,JUST
7.0,,,JUST
8.0,,,JUST
9.0,,,JUST
